FID,VolcanoNumber,VolcanoName,ExplosivityIndexMax,StartDate,StartDateYear,StartDateMonth,StartDateDay,EndDate,EndDateYear,EndDateMonth,EndDateDay,ContinuingEruption,LatitudeDecimal,LongitudeDecimal,GeoLocation,Activity_ID
E3WebApp_Eruptions1960.fid-285b36de_1728a7c6504_-5288,211040,Stromboli,2,19340202,1934,2,2,20200604,2020,6,4,TRUE,38.789,15.213,"15.213,38.789",13435
E3WebApp_Eruptions1960.fid-285b36de_1728a7c6504_-5287,211060,Etna,1,20080513,2008,5,13,20090704,2009,7,4,FALSE,37.748,14.999,"14.999,37.748",13852
E3WebApp_Eruptions1960.fid-285b36de_1728a7c6504_-5286,211060,Etna,2,20100408,2010,4,8,20100408,2010,4,8,FALSE,37.748,14.999,"14.999,37.748",13853
E3WebApp_Eruptions1960.fid-285b36de_1728a7c6504_-5285,211060,Etna,1,20100825,2010,8,25,20130427,2013,4,27,FALSE,37.748,14.999,"14.999,37.748",13854
E3WebApp_Eruptions1960.fid-285b36de_1728a7c6504_-5284,211060,Etna,2,20130903,2013,9,3,20200604,2020,6,4,TRUE,37.748,14.999,"14.999,37.748",20841
E3WebApp_Eruptions1960.fid-285b36de_1728a7c6504_-5283,211060,Etna,1,20030308,2003,3,8,20031109,2003,11,9,FALSE,37.748,14.999,"14.999,37.748",13837
E3WebApp_Eruptions1960.fid-285b36de_1728a7c6504_-5282,211060,Etna,1,20040212,2004,2,12,20040214,2004,2,14,FALSE,37.748,14.999,"14.999,37.748",13838
E3WebApp_Eruptions1960.fid-285b36de_1728a7c6504_-5281,211060,Etna,1,20040907,2004,9,7,20050308,2005,3,8,FALSE,37.748,14.999,"14.999,37.748",13846
E3WebApp_Eruptions1960.fid-285b36de_1728a7c6504_-5280,211060,Etna,1,20051216,2005,12,16,20051222,2005,12,22,FALSE,37.748,14.999,"14.999,37.748",13847
E3WebApp_Eruptions1960.fid-285b36de_1728a7c6504_-527f,211060,Etna,2,20060714,2006,7,14,20061215,2006,12,15,FALSE,37.748,14.999,"14.999,37.748",13848
E3WebApp_Eruptions1960.fid-285b36de_1728a7c6504_-527e,211060,Etna,2,20070319,2007,3,19,20080516,2008,5,16,FALSE,37.748,14.999,"14.999,37.748",13849
E3WebApp_Eruptions1960.fid-285b36de_1728a7c6504_-527d,211060,Etna,1,19930203,1993,2,3,19930203,1993,2,3,FALSE,37.748,14.999,"14.999,37.748",13826
E3WebApp_Eruptions1960.fid-285b36de_1728a7c6504_-527c,211060,Etna,1,19930803,1993,8,3,19931013,1993,10,13,FALSE,37.748,14.999,"14.999,37.748",13827
E3WebApp_Eruptions1960.fid-285b36de_1728a7c6504_-527b,211060,Etna,3,19940617,1994,6,17,20010717,2001,7,17,FALSE,37.748,14.999,"14.999,37.748",13831
E3WebApp_Eruptions1960.fid-285b36de_1728a7c6504_-527a,211060,Etna,2,20010717,2001,7,17,20010809,2001,8,9,FALSE,37.748,14.999,"14.999,37.748",13832
E3WebApp_Eruptions1960.fid-285b36de_1728a7c6504_-5279,211060,Etna,1,20011216,2001,12,16,20021030,2002,10,30,FALSE,37.748,14.999,"14.999,37.748",13835
E3WebApp_Eruptions1960.fid-285b36de_1728a7c6504_-5278,211060,Etna,3,20021026,2002,10,26,20030128,2003,1,28,FALSE,37.748,14.999,"14.999,37.748",13836
E3WebApp_Eruptions1960.fid-285b36de_1728a7c6504_-5277,211060,Etna,2,19861030,1986,10,30,19870301,1987,3,1,FALSE,37.748,14.999,"14.999,37.748",13817
E3WebApp_Eruptions1960.fid-285b36de_1728a7c6504_-5276,211060,Etna,2,19870308,1987,3,8,19870516,1987,5,16,FALSE,37.748,14.999,"14.999,37.748",13818
E3WebApp_Eruptions1960.fid-285b36de_1728a7c6504_-5275,211060,Etna,1,19881002,1988,10,2,19890630,1989,6,30,FALSE,37.748,14.999,"14.999,37.748",13819
E3WebApp_Eruptions1960.fid-285b36de_1728a7c6504_-5274,211060,Etna,2,19890911,1989,9,11,19891009,1989,10,9,FALSE,37.748,14.999,"14.999,37.748",13820
E3WebApp_Eruptions1960.fid-285b36de_1728a7c6504_-5273,211060,Etna,3,19891216,1989,12,16,19920523,1992,5,23,FALSE,37.748,14.999,"14.999,37.748",13821
E3WebApp_Eruptions1960.fid-285b36de_1728a7c6504_-5272,211060,Etna,2,19911214,1991,12,14,19930330,1993,3,30,FALSE,37.748,14.999,"14.999,37.748",13825
E3WebApp_Eruptions1960.fid-285b36de_1728a7c6504_-5271,211060,Etna,1,19830328,1983,3,28,19830806,1983,8,6,FALSE,37.748,14.999,"14.999,37.748",13811
E3WebApp_Eruptions1960.fid-285b36de_1728a7c6504_-5270,211060,Etna,1,19840428,1984,4,28,19841018,1984,10,18,FALSE,37.748,14.999,"14.999,37.748",13812
E3WebApp_Eruptions1960.fid-285b36de_1728a7c6504_-526f,211060,Etna,3,19840720,1984,7,20,19860924,1986,9,24,FALSE,37.748,14.999,"14.999,37.748",13813
E3WebApp_Eruptions1960.fid-285b36de_1728a7c6504_-526e,211060,Etna,1,19850308,1985,3,8,19850713,1985,7,13,FALSE,37.748,14.999,"14.999,37.748",13814
E3WebApp_Eruptions1960.fid-285b36de_1728a7c6504_-526d,211060,Etna,1,19851219,1985,12,19,19851231,1985,12,31,FALSE,37.748,14.999,"14.999,37.748",13815
E3WebApp_Eruptions1960.fid-285b36de_1728a7c6504_-526c,211060,Etna,2,19860316,1986,3,16,19861031,1986,10,31,FALSE,37.748,14.999,"14.999,37.748",13816
E3WebApp_Eruptions1960.fid-285b36de_1728a7c6504_-526b,211060,Etna,2,19790703,1979,7,3,19921216,1992,12,16,FALSE,37.748,14.999,"14.999,37.748",13805
E3WebApp_Eruptions1960.fid-285b36de_1728a7c6504_-526a,211060,Etna,3,19790716,1979,7,16,19800901,1980,9,1,FALSE,37.748,14.999,"14.999,37.748",13806
E3WebApp_Eruptions1960.fid-285b36de_1728a7c6504_-5269,211060,Etna,3,19800708,1980,7,8,19800926,1980,9,26,FALSE,37.748,14.999,"14.999,37.748",13807
E3WebApp_Eruptions1960.fid-285b36de_1728a7c6504_-5268,211060,Etna,2,19810126,1981,1,26,19810305,1981,3,5,FALSE,37.748,14.999,"14.999,37.748",13808
E3WebApp_Eruptions1960.fid-285b36de_1728a7c6504_-5267,211060,Etna,2,19810317,1981,3,17,19810323,1981,3,23,FALSE,37.748,14.999,"14.999,37.748",13809
E3WebApp_Eruptions1960.fid-285b36de_1728a7c6504_-5266,211060,Etna,2,19811126,1981,11,26,19811126,1981,11,26,FALSE,37.748,14.999,"14.999,37.748",13810
E3WebApp_Eruptions1960.fid-285b36de_1728a7c6504_-5265,211060,Etna,2,19710405,1971,4,5,19710612,1971,6,12,FALSE,37.748,14.999,"14.999,37.748",13798
E3WebApp_Eruptions1960.fid-285b36de_1728a7c6504_-5264,211060,Etna,2,19710919,1971,9,19,19790316,1979,3,16,FALSE,37.748,14.999,"14.999,37.748",13799
E3WebApp_Eruptions1960.fid-285b36de_1728a7c6504_-5263,211060,Etna,2,19740130,1974,1,30,19740329,1974,3,29,FALSE,37.748,14.999,"14.999,37.748",13800
E3WebApp_Eruptions1960.fid-285b36de_1728a7c6504_-5262,211060,Etna,2,19740929,1974,9,29,19780329,1978,3,29,FALSE,37.748,14.999,"14.999,37.748",13801
E3WebApp_Eruptions1960.fid-285b36de_1728a7c6504_-5261,211060,Etna,1,19750224,1975,2,24,19750829,1975,8,29,FALSE,37.748,14.999,"14.999,37.748",13803
E3WebApp_Eruptions1960.fid-285b36de_1728a7c6504_-5260,211060,Etna,2,19780429,1978,4,29,19781130,1978,11,30,FALSE,37.748,14.999,"14.999,37.748",13804
E3WebApp_Eruptions1960.fid-285b36de_1728a7c6504_-525f,211060,Etna,3,19591017,1959,10,17,19641231,1964,12,31,FALSE,37.748,14.999,"14.999,37.748",13795
E3WebApp_Eruptions1960.fid-285b36de_1728a7c6504_-525e,211060,Etna,2,19660110,1966,1,10,19710316,1971,3,16,FALSE,37.748,14.999,"14.999,37.748",13796
E3WebApp_Eruptions1960.fid-285b36de_1728a7c6504_-525d,211060,Etna,0,19680107,1968,1,7,19680504,1968,5,4,FALSE,37.748,14.999,"14.999,37.748",13797
E3WebApp_Eruptions1960.fid-285b36de_1728a7c6504_-525c,221010,"Tair, Jebel at",3,20070930,2007,9,30,20080616,2008,6,16,FALSE,15.55,41.83,"41.83,15.55",13923
